Club,City,ST,GDC,DC NAME,DISTANCE TO CLUB,FDD,Comments,SU 11/24,M 11/25,Tu 11/26,W 11/27,Th 11/28,F   11/29,Su 11/30,FZ & DD ORDER FILL Days
6367,Humble,TX,6056,Terrell,245,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6368,Chesepeake,VA,6091,Henderson,149,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6369,East Brunswick,NJ,4020,Conklin,169,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6371,Woodbridge,VA,4020,Conklin,160,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6372,Parklane,TX,6056,Terrell,148,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6373,Vienna,WV,7012,Washington CH,129,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6375,Lima,OH,7012,Washington CH,123,1,Single Truck Delivery  Noise Ord. 10PM - 7AM,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6376,Addison,TX,6056,Terrell,140,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6377,Jonesboro,AR,6059,Olney,305,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6378,Riverside,CA,8397,Colton,11,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6379,Great Falls,MT,7077,Cheyenne,682,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6380,Dayton (N),OH,7012,Washington CH,58,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6381,Lewisville,TX,6056,Terrell,123,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6382,Las Vegas (W),NV,8397,Colton,230,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6383,Salisbury,MD,4020,Conklin,302,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6384,Hodgkins,IL,7024,Sterling,192,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6385,Grand Forks,ND,7079,Mankato,399,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6386,Concord,NH,4020,Conklin,287,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6387,Pinellas Park,FL,8851,Cocoa,138,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6388,Montgomery,IL,7024,Sterling,215,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6401,Tampa (N),FL,8851,Cocoa,126,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6402,Greensboro,NC,6091,Henderson,100,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6403,Brandon,FL,8851,Cocoa,115,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6404,Fairlawn,OH,7012,Washington CH,164,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6405,Yuba City,CA,8397,Colton,480,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6406,Niagara Falls,NY,4020,Conklin,258,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6407,Ontario,OH,7012,Washington CH,114,2,Single Truck Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6408,Santa Fe,NM,7077,Cheyenne,507,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6409,Tucker,GA,4047,Atlanta,30,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6412,Southgate,MI,4154,Indy,264,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6413,Lincoln (N),NE,6065,Harrisonville,251,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6414,Gastonia,NC,6091,Henderson,199,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6415,Joplin,MO,6065,Harrisonville,128,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6417,Holland ,MI,4154,Indy,233,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6418,Wichita,KS,6065,Harrisonville,191,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6419,Traverse City,MI,4154,Indy,384,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6420,Clearwater,FL,8851,Cocoa,136,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6421,Conroe,TX,6056,Terrell,207,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6422,Longview,TX,6056,Terrell,105,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6423,Wallkill,NY,4020,Conklin,121,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6424,Kokomo,IN,4154,Indy,61,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6425,Casper,WY,7077,Cheyenne,181,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6426,Salina,KS,6065,Harrisonville,240,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6427,Rochester,MN,7079,Mankato,97,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6428,Medford,NY,4020,Conklin,234,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6429,Battle Creek,MI,4154,Indy,210,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6430,Cheyenne,WY,7077,Cheyenne,8,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6431,Elmira,NY,4020,Conklin,66,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6432,Sioux City,IA,7079,Mankato,203,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6433,Vacaville,CA,8397,Colton,448,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6434,Laurel,MD,4020,Conklin,150,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6435,Tuscaloosca,AL,4047,Atlanta,192,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6436,Onalaska,WI,7079,Mankato,152,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6437,Bloomington,IN,4154,Indy,52,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6439,Odessa,TX,6042,Pauls Valley,458,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6440,Colonie ,NY,4020,Conklin,145,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6441,Lakeland (N),FL,8851,Cocoa,85,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6443,Goldsboro,NC,6091,Henderson,94,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6444,Evanston,IL,7024,Sterling,197,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6445,Port Charlotte,FL,8851,Cocoa,176,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6448,New Port Richey,FL,8851,Cocoa,146,2,Noise Ordinance 10PM-7AM,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6449,Paducah,KY,6059,Olney,163,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6450,Cincinnati (W),OH,7012,Washington CH,82,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6452,Asheville,NC,6091,Henderson,186,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6453,Austin (NW),TX,6056,Terrell,219,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6454,Southfield,MI,4154,Indy,281,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6455,Oxnard,CA,8397,Colton,127,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6456,Plattsburg,NY,4020,Conklin,296,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6457,S. Charleston,WV,7012,Washington CH,144,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6458,Lynchburg,VA,6091,Henderson,150,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6460,Altoona,PA,4020,Conklin,29,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6461,Grand Island,NE,6065,Harrisonville,335,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6462,Augusta,ME,4020,Conklin,426,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6463,Anderson (N),SC,4047,Atlanta,130,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6464,Des Plaines,IL,7024,Sterling,204,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6471,Victoria,TX,6056,Terrell,342,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6472,Council Bluffs,IA,6065,Harrisonville,222,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6474,St. Louis (E),MO,6059,Olney,140,1,7PM -7AM,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6479,Cape Girardeau,MO,6059,Olney,170,1,Single Truck Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6482,Dallas (E),TX,6056,Terrell,25,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6485,Tinley Park,IL,4154,Indy,129,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6487,Addison,IL,7024,Sterling,202,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6489,Lansing,IL,4154,Indy,141,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6501,Murfreesboro,TN,4047,Olney,257,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6502,El Paso,TX,6056,Terrell,665,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6503,Hattiesburg,MS,6057,Hammond,121,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6505,Jefferson City,MO,6059,Olney,256,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6506,Albany ,GA,4047,Cocoa,336,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6507,Jackson,TN,6059,Olney,275,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6509,Rome,GA,4047,Atlanta,65,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6510,Mankato,MN,7079,Mankato,1,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6512,Clarksville,TN,6059,Olney,181,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6514,Waterloo,IA,7079,Mankato,191,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6517,Beavercreek,OH,7012,Washington CH,49,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6518,Bristol,VA,6091,Henderson,287,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6520,Vero Beach,FL,8851,Cocoa,60,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6521,Houma,LA,6057,Hammond,97,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6524,Colonial Heights,VA,6091,Henderson,94,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6527,Baton Rouge (S),LA,6057,Hammond,57,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6528,Cincinnati (E),OH,7012,Washington CH,79,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6533,State College,PA,4020,Conklin,75,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6535,Wausau,WI,7079,Mankato,269,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6536,Whitehall,PA,4020,Conklin,130,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6539,Watertown,NY,4020,Conklin,151,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6540,Charlotte,NC,6091,Henderson,178,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6547,Muncy,PA,4020,Conklin,118,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6549,Pueblo,CO,7077,Cheyenne,217,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6556,St. Clairsville,OH,7012,Washington CH,156,2,Single Truck Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6562,Muskegon,MI,4154,Indy,269,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6565,Rapid City,SD,7077,Cheyenne,302,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6567,Easton ,PA,4020,Conklin,123,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6568,Ames,IA,7079,Mankato,180,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6569,Bluefield,VA,7012,Washington CH,256,2,Single Truck Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6570,Raleigh (N),NC,6091,Henderson,36,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6571,Florence,SC,6091,Henderson,192,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6572,Knoxville (E),TN,4047,Atlanta,194,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6573,Jacksonville,NC,6091,Henderson,169,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6575,Pittsburgh (W),PA,6047,Washington CH,121,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6581,Scranton,PA,4020,Conklin,56,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6582,Bluffton,SC,8851,Cocoa,324,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6522,Gardena (Wholesale),CA,8397,Colton,70,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6604,Flagstaff,AZ,8397,Colton,430,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6605,Gilbert,AZ,8397,Colton,345,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6606,Phoenix,AZ,8397,Colton,314,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6608,Phoenix,AZ,8397,Colton,332,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6609,Palm Desert,CA,8397,Colton,65,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6610,Chino,CA,8397,Colton,31,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6612,Concord,CA,8397,Colton,424,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6613,Long Beach ,CA,8397,Colton,56,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6614,El Monte,CA,8397,Colton,46,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6615,Fountain Valley,CA,8397,Colton,51,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6616,Fullerton,CA,8397,Colton,38,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6617,Gardena,CA,8397,Colton,61,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6619,Ontario,CA,8397,Colton,21,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6620,Rancho Cordova,CA,8397,Colton,460,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6621,Roseville,CA,8397,Colton,462,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6622,Sacramento (S),CA,8397,Colton,431,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6624,San Bernardino,CA,8397,Colton,7,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6626,Southgate,CA,8397,Colton,55,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6628,Torrance,CA,8397,Colton,70,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6630,Arvada,CO,7077,Cheyenne,102,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6631,Aurora,CO,7077,Cheyenne,115,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6632,Denver,CO,7077,Cheyenne,109,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6633,Ft. Collins,CO,7077,Cheyenne,51,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6634,Littleton,CO,7077,Cheyenne,124,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6635,Littleton,CO,7077,Cheyenne,112,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6636,Berlin,CT,4020,Conklin,228,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6637,Coral Springs,FL,8851,Cocoa,170,2,Noise Ordinance 10PM-7AM,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6643,Atlanta,GA,4047,Atlanta,8,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6644,Gainesville,GA,4047,Atlanta,57,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6646,Alpharetta,GA,4047,Atlanta,30,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6650,Baltimore,MD,4020,Conklin,251,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6651,Baltimore,MD,4020,Conklin,260,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6652,Frederick,MD,4020,Conklin,98,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6653,Gaithersburg,MD,4020,Conklin,118,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6655,Waldorf,MD,4020,Conklin,180,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6657,Farmington Hills,MI,4154,Indy,280,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6658,Jackson,MI,4154,Indy,229,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6659,Madison Heights,MI,4154,Indy,291,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6660,Port Huron,MI,4154,Indy,332,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6661,Portage,MI,4154,Indy,192,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6662,Roseville,MI,4154,Indy,289,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6663,Saginaw,MI,4154,Indy,322,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6664,Utica,MI,4154,Indy,298,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6666,Westland,MI,4154,Indy,269,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6667,Ypsilanti,MI,4154,Indy,257,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6670,Deptford,NJ,4020,Conklin,196,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6671,Freehold,NJ,4020,Conklin,193,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6672,Albuquerque,NM,7077,Cheyenne,561,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6673,Cheektowaga,NY,4020,Conklin,203,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6674,Elmsford,NY,4020,Conklin,172,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6675,Erie,PA,7012,Washington CH,278,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6676,Hatboro,PA,4020,Conklin,167,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6677,Monroeville,PA,6047,Washington CH,97,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6678,Pittsburgh,PA,6047,Washington CH,126,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6679,West Miffin,PA,6047,Washington CH,104,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6682,Layton,UT,8397,Colton,676,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6683,Murray,UT,8397,Colton,644,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6684,Riverdale (Ogden),UT,8397,Colton,684,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6685,Provo,UT,8397,Colton,607,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6686,Salt Lake City,UT,8397,Colton,649,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6692,Tucson,AZ,8397,Colton,438,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6693,Langhorne,PA,4020,Conklin,174,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6779,Moore,OK,6042,Pauls Valley,50,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6781,Keller,TX,6056,Terrell,141,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6867,Houston (Cinco),TX,6056,Terrell,270,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6976,Wake Forest,NC,6091,Henderson,28,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
6979,Des Moines (Ankeny),IA,7079,Mankato,199,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
7189,Oklahoma City,OK,6042,Pauls Valley,68,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
7658,Brunswick,GA,8851,Cocoa,227,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
7676,Amarillo,TX,6042,Pauls Valley,327,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8102,Mobile,AL,6057,Hammond,150,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8104,Little Rock,AR,6065,Harrisonville,343,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8106,Montgomery,AL,4047,Cocoa,508,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8107,Huntsville,AL,4047,Atlanta,182,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8111,Jeffersontown,KY,4154,Indy,111,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8112,Chattanooga,TN,4047,Atlanta,111,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8114,Scott,LA,6057,Hammond,114,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8115,Augusta,GA,8851,Cocoa,419,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8116,Jacksonville,FL,8851,Cocoa,151,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8117,Oklahoma City,OK,6042,Pauls Valley,73,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8119,Pensacola,FL,6057,Hammond,209,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8120,Tallahassee,FL,8851,Cocoa,305,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8123,Evansville,IN,6059,Olney,81,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8125,Ferguson,MO,6059,Olney,132,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8126,Brownsville,TX,6056,Terrell,568,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8128,Peoria,IL,7024,Sterling,220,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8129,Wilmington,NC,6091,Henderson,166,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8130,Ft. Myers,FL,8851,Cocoa,210,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8132,Springdale,OH,7012,Washington CH,69,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8133,Florence,KY,7012,Washington CH,99,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8134,Ft. Smith,AR,6065,Harrisonville,262,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8135,Terre Haute,IN,4154,Indy,77,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8136,Dayton,OH,7012,Washington CH,56,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8138,Daytona Beach,FL,8851,Cocoa,66,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8139,Holland,OH,4154,Indy,216,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8141,Melbourne,FL,8851,Cocoa,25,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8142,Spartanburg,SC,4047,Atlanta,182,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8144,Pleasantville,NJ,4020,Conklin,240,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8145,Delran,NJ,4020,Conklin,182,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8146,Omaha,NE,7079,Mankato,302,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8147,Loveland,CO,7077,Cheyenne,60,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8149,Green Bay,WI,7024,Sterling,350,1,Single Truck Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8150,Ft. Pierce,FL,8851,Cocoa,89,2,Noise Ordinance 10PM-7AM,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8151,Panama City,FL,6057,Hammond,333,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8152,South Point,OH,7012,Washington CH,114,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8153,El Paso,TX,6056,Terrell,673,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8155,Gainesville,FL,8851,Cocoa,156,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8156,Laredo,TX,6056,Terrell,459,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8157,W. Palm Beach,FL,8851,Cocoa,129,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8158,Woodstock,GA,4047,Atlanta,29,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8160,Temple,PA,4020,Conklin,150,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8161,York,PA,4020,Conklin,205,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8162,Cedar Rapids,IA,7024,Sterling,391,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8163,Columbia,MO,6059,Olney,242,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8164,Waukesha,WI,7024,Sterling,284,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8165,Sioux Falls,SD,7079,Mankato,169,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8166,Duluth,GA,4047,Atlanta,33,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8167,Franklin,WI,7024,Sterling,265,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8168,Fishers,IN,4154,Indy,7,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8169,Lafayette,IN,4154,Indy,69,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8172,Fargo ,ND,7079,Mankato,312,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8173,Miramar,FL,8851,Cocoa,185,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8174,Merrillville,IN,4154,Indy,148,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8175,Harrisburg (E),PA,4020,Conklin,178,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8176,Topeka,KS,6065,Harrisonville,101,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8177,Las Vegas (SE),NV,8397,Colton,231,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8180,Marion,IL,6059,Olney,112,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
